COMPONENTE,DESCRICAO,ALIM,REGIONAL,SECCIONAL,BASE,CONJUNTO,FASE,CHAVE_PAI_ID,KVAN,KVAT_D,KVAT_N,TAP,TP_CONDUTOR,KM_TOTAL,MULT,NU,PERC_MULT,PERC_NU,CLIT,INT12M,DEC12M,FEC12M
QU336,Instalacao Transformadora com Chave,STR01P3,,Metropolitana,Macapá,SANTA RITA,ABC,3181637,45.0000000000,,,,,,0.00000000,0.00000000,,,0,,,
SJ983,Instalacao Transformadora com  Chave,OIP01Y2,,,,OIAPOQUE,AC,3184393,5.0000000000,,,,,,0.00000000,0.00000000,,,0,,,
100183013- X,Instalacao Transformadora (Companhia),TTG01Y1,,Tartarugalzinho,Tartarugal,TARTARUGALZINHO,B,3149488,5.0000000000,,,,,,0.00000000,0.00000000,,,0,,,
100181929- X,Instalacao Transformadora (Companhia),MCD01W2,,Metropolitana,Macapá,MACAPA - II,ABC,3157824,150.0000000000,,,,,,0.00000000,0.00000000,,,0,,,
01700592,Instalacao Transformadora com  Chave,PTG01P2,,Porto Grande,Porto Grande,PORTO GRANDE,C,3147650,10.0000000000,,,,,,0.00000000,0.00000000,,,0,,,
103597,Instalacao Transformadora com Chave,STR01P2,,Metropolitana,Macapá,SANTA RITA,ABC,3179615,150.0000000000,,,,,,0.00000000,0.00000000,,,0,,,
388437,Instalacao Transformadora com  Chave,SNV01N3,,,,SERRA DO NAVIO,B,3183569,5.0000000000,,,,,,0.00000000,0.00000000,,,0,,,
C26062,Instalacao Transformadora com Chave,SJO01S3,,Metropolitana,Macapá,SANTA RITA,ABC,3157954,75.0000000000,,,,,,0.00000000,0.00000000,,,0,,,
00105144,Instalacao Transformadora com Chave,MCD01C7,,Metropolitana,Macapá,MACAPA - II,ABC,3185062,112.5000000000,,,,,,0.00000000,0.00000000,,,0,,,
100200538- X,Instalacao Transformadora com  Chave,STN01S6,AMAPÁ,Metropolitana,Macapá,SANTANA,B,3175195,5.0000000000,,,,,,0.00000000,0.00000000,,,0,,,
00300092,Instalacao Transformadora com Chave,STN01S7,AMAPÁ,Metropolitana,Santana,SANTANA,ABC,3152729,75.0000000000,,,,,,0.00000000,0.00000000,,,0,,,
01300807,Instalacao Transformadora com Chave,EQT01C1,AMAPÁ,Metropolitana,Macapá,EQUATORIAL,ABC,3183358,112.5000000000,,,,,,0.00000000,0.00000000,,,0,,,
3011867,Instalacao Transformadora com  Chave,STN01W3,AMAPÁ,Metropolitana,Macapá,SANTANA,ABC,3169923,45.0000000000,,,,,,0.00000000,0.00000000,,,0,,,
02803007,Instalacao Transformadora (Companhia),CPX01C2,AMAPÁ,Porto Grande,Porto Grande,SERRA DO NAVIO,A,3146100,37.5000000000,,,,,,0.00000000,0.00000000,,,0,,,
100173775- X,Instalacao Transformadora (Companhia),CPX01C1,AMAPÁ,Porto Grande,Porto Grande,SERRA DO NAVIO,B,3144340,5.0000000000,,,,,,0.00000000,0.00000000,,,0,,,
00101525,Instalacao Transformadora com Chave,SJO01S4,,Metropolitana,Macapá,SANTA RITA,ABC,3161323,150.0000000000,,,,,,0.00000000,0.00000000,,,0,,,
02800021,Instalacao Transformadora com Chave,CPX01C3,AMAPÁ,Porto Grande,Porto Grande,SERRA DO NAVIO,ABC,3173275,45.0000000000,,,,,,0.00000000,0.00000000,,,0,,,
00503030,Instalacao Transformadora com  Chave,AMP01Y2,AMAPÁ,Tartarugalzinho,Amapá,AMAPA,A,3184790,5.0000000000,,,,,,0.00000000,0.00000000,,,0,,,
06103009,Instalacao Transformadora com  Chave,STN01S4,AMAPÁ,Metropolitana,Santana,SANTANA,A,3155761,15.0000000000,,,,,,0.00000000,0.00000000,,,0,,,
C18121,Instalacao Transformadora (Companhia),TTG01Y2,,Tartarugalzinho,Amapá,TARTARUGALZINHO,A,3148544,15.0000000000,,,,,,0.00000000,0.00000000,,,0,1,6.31339643e-05,7.893718968e-06
9184755,Instalacao Transformadora (Companhia),PTA01V3,,Metropolitana,Santana,PORTUARIA,ABC,3156293,150.0000000000,,,,,,0.00000000,0.00000000,,,0,,,
0123921,Estacao Transformadora com Chave,EQT01Y6,AMAPÁ,,,EQUATORIAL,ABC,3183892,112.5000000000,,,,,,0.00000000,0.00000000,,,0,,,
00199349,Estacao Transformadora com Chave,EQT01C5,AMAPÁ,Metropolitana,Macapá,EQUATORIAL,ABC,3177256,300.0000000000,3.0000000000,,,,,0.00000000,0.00000000,,,0,,,
