PLANO,ORDEM_INSP,SEAL,N_COMP_INSP,TIPO_COMP_INSP,CLASSE,FATOR_PRIOR,REGIONAL,SECCIONAL,TIPO_INSP,DATA_PROG,MES_PROG,BASE_REG,SUM,MES_PROG_NUM,TENSAO,BASE_REG_2,ORDEM_MAN,EMPRESA,PDF_CONS,INDEX,FATOR_PRIOR_CONSOLIDADO,SUPERINTENDENCIA,CONJUNTO,KM_TOTAL
BAIXA TENSÃO,6000897575,UPME-5,145001212,,SC,REINCIDÊNCIAS PLANTÃO,SUL,BAGÉ,PATRUL,2025-02-01,FEV,ANO ANTERIOR,1,2,23 kV,2025,NÃO,RIO GRANDE DO SUL,145001212,145001212-BT-FEV-PTL-ANO ANTERIOR,REINCIDÊNCIAS PLANTÃO,EQTL-RS,UTE PRESIDENTE MEDICI,1.046
BAIXA TENSÃO,6000877819,RGR3-35,185005335,,C2,HIERARQUIA,SUL,RIO GRANDE,GERAL T1,2025-01-01,JAN,ANO ANTERIOR,1,1,23 kV,2025,NÃO,RIO GRANDE DO SUL,185005335,185005335-BT-JAN-GT1-ANO ANTERIOR,HIERARQUIA,EQTL-RS,RIO GRANDE 3,1.14
BAIXA TENSÃO,6001036954,RGR3-35,185005335,COMPLEMENTO,C2,HIERARQUIA,SUL,RIO GRANDE,GERAL T1,2025-08-01,AGO,ANO ANTERIOR,1,8,23 kV,2025,SIM,RIO GRANDE DO SUL,185005335,185005335-BT-AGO-GT1-ANO ANTERIOR,HIERARQUIA,EQTL-RS,RIO GRANDE 3,1.14
RAMAL,6001035753,TRA-5,103308893,COMPLEMENTO,C2,CONTINGÊNCIA,NORTE,OSÓRIO,PATRUL,2025-08-01,AGO,ANO ANTERIOR,1,8,"13,8 kV",2025,SIM,RIO GRANDE DO SUL,103308893,103308893-RM-AGO-PTL-ANO ANTERIOR,CONTINGÊNCIA,EQTL-RS,TRAMANDAI,1.893
BAIXA TENSÃO,6000896333,TAR-2,214354147,,SC,REINCIDÊNCIAS PLANTÃO,NORTE,OSÓRIO,PATRUL,2025-02-01,FEV,ANO ANTERIOR,1,2,23 kV,2025,NÃO,RIO GRANDE DO SUL,214354147,214354147-BT-FEV-PTL-ANO ANTERIOR,REINCIDÊNCIAS PLANTÃO,EQTL-RS,TERRA DE AREIA,0.828
BAIXA TENSÃO,6000896137,PAL04-42,149001424,,SC,REINCIDÊNCIAS PLANTÃO,NORTE,PORTO ALEGRE,PATRUL,2025-02-01,FEV,ANO ANTERIOR,1,2,"13,8 kV",2025,NÃO,RIO GRANDE DO SUL,149001424,149001424-BT-FEV-PTL-ANO ANTERIOR,REINCIDÊNCIAS PLANTÃO,EQTL-RS,PORTO ALEGRE 4 - CENTRO 2,0.725
BAIXA TENSÃO,6000896137,PAL04-42,149001424,,SC,REINCIDÊNCIAS PLANTÃO,NORTE,PORTO ALEGRE,PATRUL,2025-02-01,FEV,ANO ANTERIOR,1,2,"13,8 kV",2025,NÃO,RIO GRANDE DO SUL,149001424,149001424-BT-FEV-PTL-ANO ANTERIOR,REINCIDÊNCIAS PLANTÃO,EQTL-RS,PORTO ALEGRE 4 - CENTRO 2,0.725
BAIXA TENSÃO,6000896016,ACL-01,230017295,,SC,REINCIDÊNCIAS PLANTÃO,NORTE,PORTO ALEGRE,PATRUL,2025-02-01,FEV,ANO ANTERIOR,1,2,23 kV,2025,NÃO,RIO GRANDE DO SUL,230017295,230017295-BT-FEV-PTL-ANO ANTERIOR,REINCIDÊNCIAS PLANTÃO,EQTL-RS,VIAMAO 1,0.83
BAIXA TENSÃO,6000932926,PAL10-104,149010746,,C2,HIERARQUIA,NORTE,PORTO ALEGRE,GERAL T1,2025-04-01,ABR,ANO ANTERIOR,1,4,"13,8 kV",2025,SIM,RIO GRANDE DO SUL,149010746,149010746-BT-ABR-GT1-ANO ANTERIOR,HIERARQUIA,EQTL-RS,PORTO ALEGRE 10,0.83
BAIXA TENSÃO,6000983088,PAL16-165,149007709,,C2,HIERARQUIA,NORTE,PORTO ALEGRE,GERAL T1,2025-06-01,JUN,ANO ANTERIOR,1,6,"13,8 kV",2025,SIM,RIO GRANDE DO SUL,149007709,149007709-BT-JUN-GT1-ANO ANTERIOR,HIERARQUIA,EQTL-RS,PORTO ALEGRE 16,1.04
